org_id,organization,affect,observed_items,affect_item_count,raw_intensity_sum,normalized_intensity_per_item,prevalence_share
D2-01,ACLU of Minnesota,Fear,13,11,20.0,1.5384615384615385,0.8461538461538461
D2-01,ACLU of Minnesota,Anxiety / uncertainty,13,7,7.0,0.5384615384615384,0.5384615384615384
D2-01,ACLU of Minnesota,Anger,13,13,19.0,1.4615384615384615,1.0
D2-01,ACLU of Minnesota,Moral outrage,13,13,29.0,2.230769230769231,1.0
D2-01,ACLU of Minnesota,Grief / sadness,13,3,7.0,0.5384615384615384,0.23076923076923078
D2-01,ACLU of Minnesota,Solidarity,13,13,23.0,1.7692307692307692,1.0
D2-01,ACLU of Minnesota,Care / compassion,13,10,15.0,1.1538461538461537,0.7692307692307693
D2-01,ACLU of Minnesota,Empathy,13,7,11.0,0.8461538461538461,0.5384615384615384
D2-01,ACLU of Minnesota,Hope,13,4,4.0,0.3076923076923077,0.3076923076923077
D2-01,ACLU of Minnesota,Reassurance,13,1,1.0,0.07692307692307693,0.07692307692307693
D2-01,ACLU of Minnesota,Defiance,13,13,26.0,2.0,1.0
D2-01,ACLU of Minnesota,Urgency,13,13,25.0,1.9230769230769231,1.0
D2-03,Ayada Leads,Fear,2,1,2.0,1.0,0.5
D2-03,Ayada Leads,Anxiety / uncertainty,2,1,2.0,1.0,0.5
D2-03,Ayada Leads,Anger,2,1,1.0,0.5,0.5
D2-03,Ayada Leads,Moral outrage,2,1,2.0,1.0,0.5
D2-03,Ayada Leads,Solidarity,2,2,4.0,2.0,1.0
D2-03,Ayada Leads,Care / compassion,2,1,2.0,1.0,0.5
D2-03,Ayada Leads,Empathy,2,1,2.0,1.0,0.5
D2-03,Ayada Leads,Hope,2,2,3.0,1.5,1.0
D2-03,Ayada Leads,Pride,2,1,1.0,0.5,0.5
D2-03,Ayada Leads,Reassurance,2,1,1.0,0.5,0.5
D2-03,Ayada Leads,Defiance,2,1,1.0,0.5,0.5
D2-03,Ayada Leads,Urgency,2,2,3.0,1.5,1.0
D2-07,Groundwork Legal,Fear,5,5,10.0,2.0,1.0
D2-07,Groundwork Legal,Anxiety / uncertainty,5,3,3.0,0.6,0.6
D2-07,Groundwork Legal,Anger,5,3,5.0,1.0,0.6
D2-07,Groundwork Legal,Moral outrage,5,5,10.0,2.0,1.0
D2-07,Groundwork Legal,Grief / sadness,5,5,6.0,1.2,1.0
D2-07,Groundwork Legal,Solidarity,5,5,10.0,2.0,1.0
D2-07,Groundwork Legal,Care / compassion,5,5,14.0,2.8,1.0
D2-07,Groundwork Legal,Empathy,5,5,14.0,2.8,1.0
D2-07,Groundwork Legal,Hope,5,2,6.0,1.2,0.4
D2-07,Groundwork Legal,Gratitude,5,2,2.0,0.4,0.4
D2-07,Groundwork Legal,Reassurance,5,3,7.0,1.4,0.6
D2-07,Groundwork Legal,Defiance,5,3,8.0,1.6,0.6
D2-07,Groundwork Legal,Urgency,5,3,8.0,1.6,0.6
D2-10,Immigrant Defense Network,Fear,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Anger,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Moral outrage,1,1,3.0,3.0,1.0
D2-10,Immigrant Defense Network,Grief / sadness,1,1,1.0,1.0,1.0
