org_id,organization,outlet,verified_relations
D1-09,Southern Minnesota Regional Legal Services (SMRLS),Minnesota Women's Press,1
D2-01,ACLU of Minnesota,Bring Me The News,1
D2-01,ACLU of Minnesota,FOX 9,3
D2-01,ACLU of Minnesota,KSTP 5 Eyewitness News,1
D2-01,ACLU of Minnesota,MPR News,1
D2-01,ACLU of Minnesota,Minnesota Reformer,4
D2-01,ACLU of Minnesota,Minnesota Star Tribune,1
D2-01,ACLU of Minnesota,Sahan Journal,1
D2-02,MN8 / Release MN8,Community Reporter,1
D2-03,Ayada Leads,Here & Now / WBUR,1
D2-03,Ayada Leads,Sahan Journal,1
D2-05,CAIR-Minnesota,Sahan Journal,1
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,Finance & Commerce,1
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,In These Times,1
D2-07,Groundwork Legal,Sahan Journal,1
D2-08,Defend the 612,Associated Press,1
D2-08,Defend the 612,Fox News Digital,2
D2-08,Defend the 612,The Washington Post,1
D2-10,Immigrant Defense Network,Community Reporter,1
D2-10,Immigrant Defense Network,The Guardian,1
TC003,Centro Tyrone Guzman,N+ Univision,2
TC019,Esperanza United,MPR News,1
TC025,Twin Cities Habitat for Humanity,Sahan Journal,1
TC038,Comunidades Latinas Unidas En Servicio (CLUES),CBS Minnesota / WCCO,1
TC041,International Institute of Minnesota,Bring Me The News,1
TC041,International Institute of Minnesota,CBS Minnesota / WCCO,1
TC041,International Institute of Minnesota,KSTP 5 Eyewitness News,2
TC041,International Institute of Minnesota,MPR News,2
TC041,International Institute of Minnesota,Minnesota Star Tribune,1
TC041,International Institute of Minnesota,NPR,1
TC041,International Institute of Minnesota,Sahan Journal,1
TC042,Isuroon,CBS Minnesota / WCCO,1
TC044,Minnesota Council of Churches - Refugee Services,MPR News,1
TC045,Neighborhood House,Community Reporter,1
TC054,Alight,CBS Minnesota / WCCO,1
TC054,Alight,MPR News,1
TC054,Alight,Minnesota Star Tribune,1
TC057,Immigrant Law Center of Minnesota,Associated Press,1
TC057,Immigrant Law Center of Minnesota,Bring Me The News,3
TC057,Immigrant Law Center of Minnesota,CBS Minnesota / WCCO,1
TC057,Immigrant Law Center of Minnesota,CNN,1
TC057,Immigrant Law Center of Minnesota,KSTP 5 Eyewitness News,2
TC057,Immigrant Law Center of Minnesota,MPR News,3
TC057,Immigrant Law Center of Minnesota,Minnesota Reformer,1
TC057,Immigrant Law Center of Minnesota,Sahan Journal,4
TC057,Immigrant Law Center of Minnesota,The New York Times,1
TC058,Mid-Minnesota Legal Aid,CBS Minnesota / WCCO,1
TC058,Mid-Minnesota Legal Aid,Minnesota Spokesman-Recorder,1
TC058,Mid-Minnesota Legal Aid,Minnesota Star Tribune,2
TC058,Mid-Minnesota Legal Aid,The Imprint,1
TC064,The Advocates for Human Rights,Associated Press,2
TC064,The Advocates for Human Rights,Bring Me The News,5
TC064,The Advocates for Human Rights,KSTP 5 Eyewitness News,1
TC064,The Advocates for Human Rights,MPR News,1
TC064,The Advocates for Human Rights,Minnesota Star Tribune,1
TC064,The Advocates for Human Rights,Sahan Journal,3
TC065,Volunteer Lawyers Network,CBS Minnesota / WCCO,1
TC065,Volunteer Lawyers Network,Community Reporter,1
TC065,Volunteer Lawyers Network,Minnesota Star Tribune,1
TC073,Center for Victims of Torture,CNN,1
TC073,Center for Victims of Torture,KARE 11,1
TC073,Center for Victims of Torture,MPR News,1
TC073,Center for Victims of Torture,Minnesota Star Tribune,4
TC073,Center for Victims of Torture,Pioneer Press,1
TC074,COPAL,MPR News,1
TC074,COPAL - Communities Organizing Latine Power and Action,CNN,1
TC074,COPAL - Communities Organizing Latine Power and Action,The Guardian,2
TC075,Unidos MN,CBS Minnesota / WCCO,1
TC075,Unidos MN,FOX 9,1
TC075,Unidos MN,Minnesota Reformer,2
TC075,Unidos MN,Sahan Journal,1
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),Religion News Service,1
TC077,ISAIAH,TC Jewfolk,1
TC077,ISAIAH,The Guardian,3
TC078,Jewish Community Action,Jewish Telegraphic Agency,1
TC078,Jewish Community Action,TC Jewfolk,5
TC082,Coalition of Asian American Leaders (CAAL),Hmong Daily News,1
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),Associated Press,1
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),MPR News,1
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),Sahan Journal,4
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),The Guardian,1
