from,to,edge_type,raw_weight,weight,count
AFF::Fear,ORG::D2-01,Affect–organization,20,1.5384615384615383,11
AFF::Anxiety / uncertainty,ORG::D2-01,Affect–organization,7,0.5384615384615384,7
AFF::Anger,ORG::D2-01,Affect–organization,19,1.4615384615384617,13
AFF::Moral outrage,ORG::D2-01,Affect–organization,29,2.230769230769231,13
AFF::Grief / sadness,ORG::D2-01,Affect–organization,7,0.5384615384615384,3
AFF::Solidarity,ORG::D2-01,Affect–organization,23,1.7692307692307692,13
AFF::Care / compassion,ORG::D2-01,Affect–organization,15,1.1538461538461535,10
AFF::Empathy,ORG::D2-01,Affect–organization,11,0.8461538461538461,7
AFF::Hope,ORG::D2-01,Affect–organization,4,0.3076923076923077,4
AFF::Reassurance,ORG::D2-01,Affect–organization,1,0.07692307692307693,1
AFF::Defiance,ORG::D2-01,Affect–organization,26,2,13
AFF::Urgency,ORG::D2-01,Affect–organization,25,1.9230769230769231,13
AFF::Fear,ORG::D2-03,Affect–organization,2,1,1
AFF::Anxiety / uncertainty,ORG::D2-03,Affect–organization,2,1,1
AFF::Anger,ORG::D2-03,Affect–organization,1,0.5,1
AFF::Moral outrage,ORG::D2-03,Affect–organization,2,1,1
AFF::Solidarity,ORG::D2-03,Affect–organization,4,2,2
AFF::Care / compassion,ORG::D2-03,Affect–organization,2,1,1
AFF::Empathy,ORG::D2-03,Affect–organization,2,1,1
AFF::Hope,ORG::D2-03,Affect–organization,3,1.5,2
AFF::Pride,ORG::D2-03,Affect–organization,1,0.5,1
AFF::Reassurance,ORG::D2-03,Affect–organization,1,0.5,1
AFF::Defiance,ORG::D2-03,Affect–organization,1,0.5,1
AFF::Urgency,ORG::D2-03,Affect–organization,3,1.5,2
AFF::Fear,ORG::D2-07,Affect–organization,10,2,5
AFF::Anxiety / uncertainty,ORG::D2-07,Affect–organization,3,0.6,3
AFF::Anger,ORG::D2-07,Affect–organization,5,1,3
AFF::Moral outrage,ORG::D2-07,Affect–organization,10,2,5
AFF::Grief / sadness,ORG::D2-07,Affect–organization,6,1.2,5
AFF::Solidarity,ORG::D2-07,Affect–organization,10,2,5
AFF::Care / compassion,ORG::D2-07,Affect–organization,14,2.8,5
AFF::Empathy,ORG::D2-07,Affect–organization,14,2.8,5
AFF::Hope,ORG::D2-07,Affect–organization,6,1.2,2
AFF::Gratitude,ORG::D2-07,Affect–organization,2,0.4,2
AFF::Reassurance,ORG::D2-07,Affect–organization,7,1.4,3
AFF::Defiance,ORG::D2-07,Affect–organization,8,1.6,3
AFF::Urgency,ORG::D2-07,Affect–organization,8,1.6,3
AFF::Fear,ORG::D2-10,Affect–organization,2,2,1
AFF::Anger,ORG::D2-10,Affect–organization,2,2,1
AFF::Moral outrage,ORG::D2-10,Affect–organization,3,3,1
AFF::Grief / sadness,ORG::D2-10,Affect–organization,1,1,1
AFF::Solidarity,ORG::D2-10,Affect–organization,3,3,1
AFF::Care / compassion,ORG::D2-10,Affect–organization,2,2,1
AFF::Empathy,ORG::D2-10,Affect–organization,2,2,1
AFF::Hope,ORG::D2-10,Affect–organization,1,1,1
AFF::Pride,ORG::D2-10,Affect–organization,1,1,1
AFF::Defiance,ORG::D2-10,Affect–organization,3,3,1
AFF::Urgency,ORG::D2-10,Affect–organization,3,3,1
AFF::Solidarity,ORG::TC002,Affect–organization,1,0.1,1
AFF::Hope,ORG::TC002,Affect–organization,2,0.2,2
AFF::Pride,ORG::TC002,Affect–organization,1,0.1,1
AFF::Reassurance,ORG::TC002,Affect–organization,1,0.1,1
AFF::Grief / sadness,ORG::TC003,Affect–organization,2,2,1
AFF::Solidarity,ORG::TC003,Affect–organization,3,3,1
AFF::Care / compassion,ORG::TC003,Affect–organization,2,2,1
AFF::Empathy,ORG::TC003,Affect–organization,1,1,1
AFF::Hope,ORG::TC003,Affect–organization,2,2,1
AFF::Gratitude,ORG::TC003,Affect–organization,1,1,1
AFF::Pride,ORG::TC003,Affect–organization,3,3,1
AFF::Anxiety / uncertainty,ORG::TC008,Affect–organization,2,2,1
AFF::Grief / sadness,ORG::TC008,Affect–organization,2,2,1
AFF::Solidarity,ORG::TC008,Affect–organization,2,2,1
AFF::Care / compassion,ORG::TC008,Affect–organization,3,3,1
AFF::Empathy,ORG::TC008,Affect–organization,1,1,1
AFF::Hope,ORG::TC008,Affect–organization,1,1,1
AFF::Gratitude,ORG::TC008,Affect–organization,3,3,1
AFF::Reassurance,ORG::TC008,Affect–organization,2,2,1
AFF::Urgency,ORG::TC008,Affect–organization,1,1,1
AFF::Solidarity,ORG::TC015,Affect–organization,4,1.3333333333333333,3
AFF::Care / compassion,ORG::TC015,Affect–organization,5,1.6666666666666667,3
AFF::Empathy,ORG::TC015,Affect–organization,1,0.3333333333333333,1
AFF::Hope,ORG::TC015,Affect–organization,6,2,3
AFF::Gratitude,ORG::TC015,Affect–organization,4,1.3333333333333333,3
AFF::Pride,ORG::TC015,Affect–organization,4,1.3333333333333333,3
AFF::Reassurance,ORG::TC015,Affect–organization,3,1,2
AFF::Solidarity,ORG::TC016,Affect–organization,5,2.5,2
AFF::Care / compassion,ORG::TC016,Affect–organization,3,1.5,2
AFF::Hope,ORG::TC016,Affect–organization,4,2,2
AFF::Gratitude,ORG::TC016,Affect–organization,4,2,2
AFF::Pride,ORG::TC016,Affect–organization,4,2,2
AFF::Fear,ORG::TC019,Affect–organization,3,3,1
AFF::Anxiety / uncertainty,ORG::TC019,Affect–organization,2,2,1
AFF::Anger,ORG::TC019,Affect–organization,2,2,1
AFF::Moral outrage,ORG::TC019,Affect–organization,3,3,1
AFF::Grief / sadness,ORG::TC019,Affect–organization,1,1,1
AFF::Solidarity,ORG::TC019,Affect–organization,3,3,1
AFF::Care / compassion,ORG::TC019,Affect–organization,3,3,1
