role_a,role_b,organization_count,organizations_with_verified_media_edge,observed_media_share_pct,organizations_with_cross_layer_visibility,cross_layer_share_pct,organizations_with_national_amplification,national_amplification_share_pct,verified_news_edges_total_for_pair_members,small_n_flag
civil_rights_human_rights,direct_service,8,7,87.5,6,75.0,4,50.0,50,0
civil_rights_human_rights,legal,8,7,87.5,4,50.0,3,37.5,51,0
advocacy,civil_rights_human_rights,12,10,83.3,6,50.0,5,41.7,62,0
advocacy,legal,7,5,71.4,3,42.9,3,42.9,47,0
health_wellbeing,housing_economic,8,5,62.5,1,12.5,1,12.5,9,0
community_rooted,organizing,13,8,61.5,4,30.8,4,30.8,21,0
advocacy,organizing,15,9,60.0,5,33.3,4,26.7,30,0
advocacy,coalition_network,5,3,60.0,2,40.0,1,20.0,6,0
civil_rights_human_rights,organizing,5,3,60.0,2,40.0,2,40.0,12,0
advocacy,faith_based,6,3,50.0,1,16.7,1,16.7,9,0
ethnocultural,gender_based,6,3,50.0,0,0.0,0,0.0,3,0
health_wellbeing,youth_family,6,3,50.0,0,0.0,0,0.0,3,0
advocacy,direct_service,19,9,47.4,4,21.1,3,15.8,42,0
education_workforce,housing_economic,11,5,45.5,1,9.1,1,9.1,8,0
direct_service,youth_family,9,4,44.4,0,0.0,0,0.0,4,0
direct_service,health_wellbeing,16,7,43.8,2,12.5,2,12.5,20,0
direct_service,housing_economic,16,7,43.8,1,6.2,1,6.2,11,0
advocacy,community_rooted,30,13,43.3,4,13.3,3,10.0,27,0
advocacy,health_wellbeing,7,3,42.9,0,0.0,0,0.0,4,0
community_rooted,gender_based,7,3,42.9,0,0.0,0,0.0,3,0
advocacy,housing_economic,12,5,41.7,1,8.3,1,8.3,12,0
community_rooted,housing_economic,17,7,41.2,1,5.9,1,5.9,14,0
coalition_network,community_rooted,5,2,40.0,2,40.0,1,20.0,4,0
direct_service,gender_based,5,2,40.0,0,0.0,0,0.0,2,0
ethnocultural,organizing,5,2,40.0,1,20.0,1,20.0,3,0
gender_based,health_wellbeing,5,2,40.0,0,0.0,0,0.0,2,0
health_wellbeing,immigrant_integration,5,2,40.0,0,0.0,0,0.0,3,0
education_workforce,health_wellbeing,8,3,37.5,1,12.5,1,12.5,6,0
ethnocultural,housing_economic,14,5,35.7,0,0.0,0,0.0,6,0
advocacy,ethnocultural,21,7,33.3,1,4.8,1,4.8,9,0
direct_service,legal,18,6,33.3,4,22.2,3,16.7,39,0
ethnocultural,health_wellbeing,15,5,33.3,0,0.0,0,0.0,6,0
advocacy,education_workforce,9,3,33.3,0,0.0,0,0.0,3,0
housing_economic,immigrant_integration,9,3,33.3,0,0.0,0,0.0,4,0
education_workforce,refugee_resettlement,6,2,33.3,1,16.7,1,16.7,12,0
community_rooted,health_wellbeing,16,5,31.2,0,0.0,0,0.0,6,0
advocacy,immigrant_integration,7,2,28.6,0,0.0,0,0.0,7,0
education_workforce,youth_family,11,3,27.3,0,0.0,0,0.0,3,0
community_rooted,youth_family,12,3,25.0,0,0.0,0,0.0,3,0
ethnocultural,youth_family,12,3,25.0,0,0.0,0,0.0,3,0
direct_service,education_workforce,31,7,22.6,2,6.5,2,6.5,20,0
faith_based,housing_economic,5,1,20.0,1,20.0,1,20.0,6,0
legal,refugee_resettlement,5,1,20.0,0,0.0,0,0.0,1,0
direct_service,refugee_resettlement,11,2,18.2,1,9.1,1,9.1,12,0
immigrant_integration,refugee_resettlement,11,2,18.2,1,9.1,1,9.1,12,0
direct_service,ethnocultural,39,7,17.9,0,0.0,0,0.0,8,0
education_workforce,immigrant_integration,24,4,16.7,1,4.2,1,4.2,14,0
education_workforce,faith_based,6,1,16.7,0,0.0,0,0.0,1,0
faith_based,legal,6,1,16.7,0,0.0,0,0.0,1,0
education_workforce,ethnocultural,26,4,15.4,0,0.0,0,0.0,4,0
community_rooted,direct_service,46,7,15.2,0,0.0,0,0.0,8,0
community_rooted,ethnocultural,63,9,14.3,1,1.6,1,1.6,11,0
education_workforce,legal,7,1,14.3,0,0.0,0,0.0,1,0
community_rooted,education_workforce,30,4,13.3,0,0.0,0,0.0,4,0
direct_service,immigrant_integration,44,5,11.4,1,2.3,1,2.3,16,0
faith_based,immigrant_integration,10,1,10.0,0,0.0,0,0.0,1,0
community_rooted,immigrant_integration,32,3,9.4,0,0.0,0,0.0,8,0
immigrant_integration,legal,11,1,9.1,0,0.0,0,0.0,1,0
ethnocultural,immigrant_integration,24,2,8.3,0,0.0,0,0.0,3,0
direct_service,faith_based,12,1,8.3,0,0.0,0,0.0,1,0
community_rooted,legal,7,0,0.0,0,0.0,0,0.0,0,0
community_rooted,refugee_resettlement,6,0,0.0,0,0.0,0,0.0,0,0
ethnocultural,refugee_resettlement,5,0,0.0,0,0.0,0,0.0,0,0
housing_economic,youth_family,3,3,100.0,0,0.0,0,0.0,3,1
media_information,organizing,2,2,100.0,1,50.0,1,50.0,3,1
advocacy,media_information,1,1,100.0,1,100.0,0,0.0,2,1
civil_rights_human_rights,coalition_network,1,1,100.0,0,0.0,0,0.0,2,1
civil_rights_human_rights,health_wellbeing,1,1,100.0,1,100.0,1,100.0,10,1
coalition_network,media_information,1,1,100.0,1,100.0,0,0.0,2,1
gender_based,organizing,1,1,100.0,0,0.0,0,0.0,1,1
immigrant_integration,organizing,1,1,100.0,0,0.0,0,0.0,5,1
coalition_network,organizing,4,3,75.0,2,50.0,1,25.0,6,1
civil_rights_human_rights,faith_based,3,2,66.7,0,0.0,0,0.0,3,1
