role_label,organization_count,organizations_with_verified_media_edge,observed_media_share_pct,organizations_with_cross_layer_visibility,cross_layer_share_pct,organizations_with_national_amplification,national_amplification_share_pct,organizations_with_direct_quote,direct_quote_share_pct,organizations_with_substantive_interpretation,substantive_interpretation_share_pct,organizations_with_resource_routing,resource_routing_share_pct,organizations_with_mobilization_uptake,mobilization_uptake_share_pct,verified_news_edges_total_for_role_members,median_verified_edges_all_role_members,median_verified_edges_observed_members
civil_rights_human_rights,15,13,86.7,8,53.3,6,40.0,12,80.0,12,80.0,9,60.0,8,53.3,76,2.0,3.0
organizing,16,10,62.5,5,31.2,5,31.2,9,56.2,10,62.5,5,31.2,9,56.2,31,1.5,2.0
advocacy,40,21,52.5,9,22.5,7,17.5,19,47.5,19,47.5,13,32.5,15,37.5,86,1.0,2.0
coalition_network,7,3,42.9,2,28.6,1,14.3,3,42.9,3,42.9,1,14.3,3,42.9,6,0.0,2.0
legal,20,8,40.0,4,20.0,3,15.0,7,35.0,7,35.0,7,35.0,3,15.0,52,0.0,4.0
media_information,5,2,40.0,1,20.0,1,20.0,1,20.0,2,40.0,1,20.0,2,40.0,3,0.0,1.5
housing_economic,23,9,39.1,2,8.7,2,8.7,6,26.1,7,30.4,6,26.1,5,21.7,19,0.0,1.0
gender_based,8,3,37.5,0,0.0,0,0.0,2,25.0,2,25.0,3,37.5,0,0.0,3,0.0,1.0
health_wellbeing,20,7,35.0,2,10.0,2,10.0,5,25.0,5,25.0,5,25.0,3,15.0,20,0.0,1.0
youth_family,14,4,28.6,0,0.0,0,0.0,1,7.1,2,14.3,2,14.3,2,14.3,4,0.0,1.0
faith_based,16,4,25.0,1,6.2,1,6.2,4,25.0,4,25.0,2,12.5,3,18.8,10,0.0,1.5
direct_service,74,18,24.3,8,10.8,6,8.1,14,18.9,15,20.3,15,20.3,7,9.5,75,0.0,1.5
community_rooted,79,16,20.3,4,5.1,4,5.1,12,15.2,13,16.5,9,11.4,11,13.9,30,0.0,1.0
education_workforce,44,8,18.2,2,4.5,2,4.5,4,9.1,5,11.4,6,13.6,3,6.8,21,0.0,1.0
refugee_resettlement,11,2,18.2,1,9.1,1,9.1,2,18.2,2,18.2,2,18.2,1,9.1,12,0.0,6.0
ethnocultural,63,9,14.3,1,1.6,1,1.6,6,9.5,6,9.5,6,9.5,4,6.3,11,0.0,1.0
immigrant_integration,49,6,12.2,1,2.0,1,2.0,4,8.2,5,10.2,5,10.2,4,8.2,21,0.0,1.5
