type_label,media_layer,edge_count,unique_organizations,unique_outlets,unique_stories,direct_quote_edges
advocacy,community_ethnic,8,4,4,8,4
advocacy,local_regional,51,6,8,48,35
advocacy,national_amplification,8,6,6,7,5
civil_rights_human_rights,community_ethnic,2,2,2,2,2
civil_rights_human_rights,local_regional,54,6,10,51,38
civil_rights_human_rights,national_amplification,8,5,6,7,6
coalition_network,community_ethnic,1,1,1,1,0
coalition_network,national_amplification,1,1,1,1,1
community_rooted,community_ethnic,6,2,2,6,2
community_rooted,local_regional,6,2,4,6,6
community_rooted,national_amplification,2,2,2,2,1
direct_service,community_ethnic,1,1,1,1,1
direct_service,local_regional,45,6,9,39,33
direct_service,national_amplification,10,5,7,8,9
education_workforce,local_regional,8,1,6,8,7
education_workforce,national_amplification,3,1,3,3,3
ethnocultural,local_regional,1,1,1,1,1
faith_based,community_ethnic,5,1,1,5,2
faith_based,national_amplification,1,1,1,1,0
gender_based,local_regional,1,1,1,1,1
health_wellbeing,local_regional,9,2,5,9,9
health_wellbeing,national_amplification,2,1,2,2,2
housing_economic,community_ethnic,5,1,1,5,2
housing_economic,local_regional,1,1,1,1,1
housing_economic,national_amplification,1,1,1,1,0
immigrant_integration,local_regional,13,2,8,13,12
immigrant_integration,national_amplification,3,1,3,3,3
legal,community_ethnic,1,1,1,1,1
legal,local_regional,40,4,8,38,26
legal,national_amplification,5,3,3,4,4
organizing,community_ethnic,7,3,3,7,3
organizing,local_regional,11,2,5,11,9
organizing,national_amplification,3,3,3,3,1
refugee_resettlement,local_regional,8,1,6,8,7
refugee_resettlement,national_amplification,3,1,3,3,3
