type_label,org_id,organization,relation_id,news_item_id,outlet_id,media_layer,visibility_type,direct_quote,source_prominence,source_function_primary,substantive_interpretation,resource_routing,mobilization_uptake,fundraising_uptake,service_uptake,legal_information_uptake,verification_status
advocacy,D2-01,ACLU of Minnesota,R0048,STY-55CD48156365,NEWS001,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0019,STY-3136CCA56693,NEWS002,local_regional,direct_quote,1,primary,legal_guidance_source,1,1,0,0,1,1,verified
advocacy,D2-01,ACLU of Minnesota,R0101,STY-C0E3B50FF40D,NEWS003,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0029,STY-3FD4FADD113B,NEWS006,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0035,STY-43DBE96BD6E7,NEWS006,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0095,STY-A9A4C77BE15B,NEWS006,local_regional,direct_quote,1,supporting,advocacy_source,1,0,1,0,0,0,verified
advocacy,D2-01,ACLU of Minnesota,R0072,STY-755DE49009B8,NEWS007,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,1,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0026,STY-377E465ED001,NEWS010,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0039,STY-4BE32E77757E,NEWS010,local_regional,named_mention,0,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0114,STY-E702A3A0BF1C,NEWS010,local_regional,named_mention,0,secondary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0115,STY-E9599798CBC3,NEWS010,local_regional,direct_quote,1,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,D2-01,ACLU of Minnesota,R0112,STY-DF55FE4B958C,NEWS011,local_regional,named_mention,0,primary,legal_advocacy_source,1,0,0,0,0,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0016,STY-2DC66D7F6B6E,NEWS001,local_regional,direct_quote,1,supporting,legal_expert,1,0,0,0,0,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0030,STY-41EDF46ABCF6,NEWS001,local_regional,direct_quote,1,supporting,legal_policy_expert,1,1,0,0,1,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0078,STY-7D8AF35DB59B,NEWS001,local_regional,resource_listing,0,supporting,resource_legal_source,0,1,0,0,1,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0099,STY-BC49FDBC8F33,NEWS001,local_regional,direct_quote,1,supporting,legal_expert,1,1,0,0,1,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0058,STY-676354754AAF,NEWS002,local_regional,direct_quote,1,supporting,legal_policy_expert,1,0,0,0,0,1,verified
advocacy,TC057,Immigrant Law Center of Minnesota,R0090,STY-951C939203E6,NEWS002,local_regional,beneficiary_or_partner,0,supporting,collective_action_destination,0,0,1,1,0,0,verified
